system,dataset,PER (%),F1@20ms (%),F1@50ms (%),AAS (ms),MedianBE (ms),onset_bias (ms),offset_bias (ms),N_ref,n_files
w2v->CTC,park,23.845985561146357,40.877884074282505,77.38885762521102,34.53150401182558,29.536682159158723,29.309807087629707,-37.58669911358031,4571,8
w2v->CTC,ctrl,17.535892176970407,40.2004864745338,75.1529446450947,34.6738518751366,29.062499999994884,-13.64743305371194,-82.55966861109765,6826,12
w2v->MFA,rhap,16.309160517117018,71.58312814596714,86.0409456411316,18.306990845330283,10.89900000000199,-10.731248826718256,-9.353522172098591,90115,53
w2v->MFA,mon,16.870423640167363,66.86610581293489,84.21070029585309,19.76614332203373,10.000999999995486,-9.560987729964571,-3.4730312689688554,30592,68
w2v->MFA,cereb,22.885085574572127,67.39512685254961,82.64255212258226,20.23976887255681,10.000999999999038,2.6986573612393756,4.123482881801915,4090,7
w2v->MFA,sla,36.632270168855534,56.00066766816891,71.97462860958103,24.122108663345234,10.472978692032342,-259.4283980505118,-269.5563230434702,6396,12
w2v->MFA,park,23.845985561146357,73.74226223972988,87.94597636465953,16.467224089099638,9.999999999999789,1.0311055220717988,3.522384056673953,4571,8
w2v->MFA,ctrl,17.535892176970407,78.51404142404364,91.58988722635809,13.81066200611979,9.999000000000535,-45.15283914334595,-42.75818930901075,6826,12
wavlm->CTC,rhap,15.54014315041891,42.538939552901304,77.96903282336257,36.04420165012678,31.73162751677694,30.925411212941757,61.547506839011746,90115,53
wavlm->CTC,mon,16.994639121338913,30.08573137502492,65.65760616734234,49.33556175312369,44.82701905627096,47.47499178000543,104.73692651979488,30592,68
wavlm->CTC,cereb,22.78728606356968,17.815802717664823,59.10920986411677,64.04114069240984,62.46008280619009,70.89770296028914,131.04608051783487,4090,7
wavlm->CTC,sla,29.940587867417136,14.1655672823219,46.223614775725586,76.4241947828049,77.26299211313403,80.33039690248408,144.10902754629123,6396,12
wavlm->CTC,park,20.54255086414351,30.07720711648204,73.8950430793331,47.62493429045633,45.7258977881736,45.28022726074156,91.26229151670326,4571,8
wavlm->CTC,ctrl,16.83269850571345,29.78284873021715,74.67059256532941,46.07050092159778,42.75511786600639,28.780322426851765,62.07576745650328,6826,12
wavlm->MFA,rhap,15.54014315041891,71.67068263832044,86.03018319748203,18.18449527818169,10.703000000006568,-9.44669270813094,-7.933474534788803,90115,53
wavlm->MFA,mon,16.994639121338913,66.99342061540506,84.20615405064133,19.689991148787403,10.000999999995486,-9.487551468649594,-2.261253729841281,30592,68
wavlm->MFA,cereb,22.78728606356968,64.74584801207851,79.89431303472573,20.604957510636744,10.001000000002591,-359.8652549978071,-362.9340395210168,4090,7
wavlm->MFA,sla,29.940587867417136,55.06266490765172,71.00923482849605,24.817256009516584,10.696817876301168,96.10255345969976,78.84288668231297,6396,12
wavlm->MFA,park,20.54255086414351,73.8950430793331,88.1503860355824,16.35993950329015,9.999999999999789,-5.343434537474797,-4.133327254948449,4571,8
wavlm->MFA,ctrl,16.83269850571345,78.43945528156056,91.71880750828116,13.91495893677902,9.999000000000535,-14.93035683653659,-13.151306334112164,6826,12
GoldPh->MFA,rhap,0.0,74.33457545914294,89.25782982876409,18.52025391865544,10.706000000027416,-4.697778616210969,-10.267498840368994,90115,53
GoldPh->MFA,tapas,0.0032688284518828,69.40752458454963,87.03664443320993,19.74923709669994,10.000999999995486,-8.748193831967978,-6.622257826714654,30592,68
GoldPh->MFA,cereb,0.0,70.1977056382719,84.91579204295826,20.316213673457028,10.001000000002591,-201.24014139027855,-210.01848673868156,4090,7
GoldPh->MFA,sla,0.0,59.53495630461922,75.87390761548065,24.851188123095312,10.59764567881416,20.390204075117172,-1.0069851473293547,6396,12
GoldPh->MFA,park,0.0,77.46232801921818,91.15527407730946,16.19040354975174,9.999999999999789,2.950571334637511,-1.1562257516470005,4571,8
GoldPh->MFA,ctrl,0.0,79.81866042702545,92.17607487569464,13.956483076809656,9.999000000000535,-103.9376360617604,-106.34230425999344,6826,12
ASR+G2P->MFA,rhap,33.067746768018644,62.7868873120502,75.64750513592881,19.298563461784187,11.134999999999453,-24.98410097515277,-23.95570278707345,90115,53
ASR+G2P->MFA,mon,26.52654288702929,62.114995157171776,77.98538346394294,20.366636059741868,10.000999999999038,-16.636850505126233,-10.28519383316338,30592,68
ASR+G2P->MFA,cereb,41.75228310502283,55.757575757575765,68.92255892255893,20.39182038232871,10.002000000000066,37.57954095860539,39.974502245666514,3504,6
ASR+G2P->MFA,sla,56.707317073170735,41.58617183528216,54.011184544992375,22.965514339090408,10.005000000006705,-73.46780847556694,-84.86872257141854,6396,12
ASR+G2P->MFA,park,43.272806825639904,58.73869149075652,71.5091123639701,17.2937472717098,9.999999999999789,-46.551020056785376,-44.50743023181599,4571,8
ASR+G2P->MFA,ctrl,35.15968356284793,66.70529801324503,79.35430463576161,14.26157467578588,9.99999999999801,-44.44316144632055,-41.4575587717116,6826,12
GoldPh->MFA,mon,0.003268828451882845,69.40752458454963,87.03664443320993,19.74923709669994,10.000999999995486,-8.748193831967978,-6.622257826714654,30592,68
